date,year,type,country,state,activity,sex,age,injury,species,source
2021-08-07,2021,Unprovoked,Usa,Florida,Swimming activities/sports,M,15,Lacerations to legs,Other,"R. B, GSAF"
2021-08-03,2021,Unprovoked,Usa,South Carolina,Other,M,,Lacerations to lower body,Black Shark,J. Marchand. GSAF
2021-08-02,2021,Unprovoked,Usa,Maryland,Swimming activities/sports,F,12,Lacerations and puncture wounds to lower left leg,Black Shark,J. Marchand. GSAF
2021-07-30,2021,Provoked,Usa,Florida,Other,M,47,Hands bitten while attempting to unhook shark               PROVOKED INCIDENT,Other,"J. Marchand, GSAF"
2021-07-27,2021,Unprovoked,Usa,North Carolina,Playing or floating in the water,M,15,Lower left leg bitten,Other,J. Marchand. GSAF
2021-07-27,2021,Unprovoked,Usa,Georgia,Board activities/sports,M,58,Lower left leg bitten,Black Shark,"C. Creswell and J. Marchand, GSAF"
2021-07-27,2021,Provoked,Australia,Western Australia,Other,M,34,Leg bitten when he jumped on the sharkPROVOKED INCIDENT,Lemon Shark,"J. Marchand, GSAF"
2021-07-26,2021,Unprovoked,Usa,New York,Swimming activities/sports,M,,Minor injury to calf ,Other,"S. Curatolo-Wagemann, GSAF & K. McMurray, TrackingSharks.com"
2021-07-25,2021,Unprovoked,Brazil,Pernambuco,Playing or floating in the water,M,32,Lacerations to poster thigh and buttock,Other,"K. McMurray, TrackingSharks.com"
2021-07-23,2021,Provoked,Thailand,Chanthaburi Province,Fishing activities,M,55,Lacerations to lower right leg PROVOKED INCIDENT,Bull Shark,"J. Marchand, GSAF"
2021-07-21,2021,Unprovoked,Usa,California,Board activities/sports,F,,No injury,Other,J. Romney
2021-07-21,2021,,Usa,Florida,Other,F,35,"Small laceration to ankle, shark involvement not confirmed",Other,"J  Marchand, GSAF"
2021-07-19,2021,Unprovoked,Australia,Western Australia,Board activities/sports,M,,"No injury, knocked off board by shark",White Shark,"B. Myatt & S. De Marchi, GSAF"
2021-07-15,2021,Unprovoked,Usa,Florida,Board activities/sports,M,11,Leg bitten,Other,"K. McMurray, TrackingSharks.com"
2021-07-14,2021,Unprovoked,South Africa,Eastern Cape Province,Board activities/sports,M,38,Injuries to leg and torso,Other,"J. Marchand & M. Michaelson, GSAF"
2021-07-11,2021,Provoked,Bahamas,,Fishing activities,M,,Lacerations to right hand  PROVOKED INCIDENT,Other,"Yahoo.com, 7/11/2021"
2021-07-10,2021,Unprovoked,Usa,Florida,Playing or floating in the water,F,9,Right foot bitten,Other,"J. Marchand, GSAF"
2021-07-10,2021,Unprovoked,Usa,Florida,Other,M,36,Shark involvement prior to death not confirmed,Other,"M. Michaelson, GSAF & K. McMurray, TrackingSharks.com"
2021-07-10,2021,Unprovoked,Brazil,Pernambuco,Other,M,51,FATAL,Other,"K. McMurray, TrackingSharks.com"
2021-07-05,2021,Unprovoked,Australia,New South Wales,Board activities/sports,M,25,Left forearm broken & lacerated,White Shark,"S. De Marchi, M. Michaelson, B. Myatt, GSAF and K. McMurray, TrackingSharks.com"
2021-07-04,2021,Unprovoked,Usa,Florida,Playing or floating in the water,M,8,Puncture wound to calf,Other,"ClickOrlando, 7/4/2021"
2021-07-04,2021,Provoked,Usa,BAHAMAS,Other,F,19,PROVOKED INCIDENT Lacerations to right hand,Bull Shark,"K.McMurray, TrackingSharks.com"
2021-07-03,2021,Unprovoked,Ecuador,Galapagos,Swimming activities/sports,M,31,Single bite to right thigh ,Other,"J. Marchand & A. Currie, GSAF"
2021-06-30,2021,Unprovoked,Usa,California,Other,M,15,Hand injured,Other,"R. Collier, GSAF & K. McMurray, TrackingSharks.com"
2021-06-28,2021,Unprovoked,Usa,Florida,Board activities/sports,F,,Lacerations to thigh and calf,Other,"J. Marchand, GSAF"
2021-06-27,2021,Unprovoked,Usa,North Carolina,Swimming activities/sports,F,7,Calf bitten,Other,"C.Creswell, GSAF"
2021-06-26,2021,Unprovoked,Usa,California,Swimming activities/sports,M,38,Posterior right thigh bitten,White Shark,"M. Michaelson, B Myatt, M. Levine, R. Collier, GSAF"
2021-06-25,2021,Unprovoked,Jordan,Aqaba,Board activities/sports,M,36,Foot bitten,Other,"A. Currie, GSAF"
2021-06-23,2021,Unprovoked,Australia,Western Australia,Board activities/sports,M,25,Lacerations to calf and ankle,Other,"B. Myatt, S. De Marchi & S. Curatololo-Wagemann, GSAF"
2021-06-18,2021,Unprovoked,Usa,Florida,Playing or floating in the water,M,12,Left arm bitten,Other,"K. McMurray, TrackingSharks.com"
2021-06-17,2021,Unprovoked,Usa,Florida,Swimming activities/sports,M,14,"""superficial injuries:",Other,"K. McMurray, TrackingSharks.com"
2021-06-14,2021,Unprovoked,Usa,Florida,Playing or floating in the water,M,12,Right calf bitten,Other,"K. McMurray, TrackingSharks.com"
2021-06-14,2021,Unprovoked,Usa,Florida,Playing or floating in the water,M,71,Minor injury to right foot,Other,"K. McMurray, TrackingSharks.com"
2021-06-12,2021,Provoked,England,West Sussex,Other,M,51,Calf bitten by hooked shark PROVOKED INCIDENT,Other,"K. McMurray, TrackingSharks.com"
2021-06-11,2021,Unprovoked,Australia,Western Australia,Swimming activities/sports,M,10,Foot bitten,Bronze Shark,"B. Myatt, GSAF"
2021-05-25,2021,Provoked,New Caledonia,Nouville,Other,M,,Presumed fatal  PROVOKED INCIDENT,Other,F. Abbott & Ouest-France. 5/27/2021
